vf,width,thickness,k11,k33,p,t,h
0.89206,0.47594,0.57356,1.73258,0.43822,1,0,0
0.77456,0.82444,0.40231,2.18126,0.43176,1,0,0
0.99794,0.76719,0.19106,2.59075,0.41711,1,0,0
0.22206,0.56594,0.44269,0.97509,0.28639,1,0,0
0.91731,0.96006,0.11769,2.68263,0.39557,1,0,0
0.07931,0.02956,0.57081,0.38588,0.21839,1,0,0
0.09831,0.15806,0.16131,0.50574,0.20327,1,0,0
0.98044,0.69794,0.74706,2.20583,0.60109,1,0,0
0.91106,0.09444,0.75306,0.95538,0.35356,1,0,0
0.48106,0.96256,0.24969,1.7537,0.32767,1,0,0
0.84906,0.79919,0.72919,2.11986,0.56523,1,0,0
0.62819,0.22806,0.51119,1.01527,0.30711,1,0,0
0.80256,0.40906,0.86581,1.44761,0.46747,1,0,0
0.80381,0.67281,0.12081,2.11034,0.33655,1,0,0
0.75269,0.93469,0.62244,2.08751,0.51493,1,0,0
0.10631,0.61719,0.12381,0.86557,0.22633,1,0,0
0.02156,0.26606,0.97469,0.48758,0.28319,1,0,0
0.06969,0.37906,0.92556,0.60598,0.3068,1,0,0
0.05356,0.25481,0.81194,0.51909,0.26916,1,0,0
0.82794,0.32281,0.13069,1.39273,0.27856,1,0,0
0.04919,0.02181,0.01256,0.37811,0.19092,1,0,0
0.16144,0.72494,0.60681,0.96179,0.32343,1,0,0
0.58856,0.29406,0.11394,1.11397,0.24711,1,0,0
0.22619,0.73694,0.60706,1.06737,0.33987,1,0,0
0.22019,0.59156,0.06856,1.02,0.23306,1,0,0
0.12969,0.13319,0.67719,0.49705,0.24709,1,0,0
0.99131,0.50931,0.60019,1.97386,0.48526,1,0,0
0.99731,0.88444,0.37281,2.67109,0.50155,1,0,0
0.07406,0.85981,0.62556,0.86577,0.31666,1,0,0
0.27694,0.73756,0.55519,1.16202,0.34058,1,0,0
0.24094,0.41544,0.03031,0.8891,0.22227,1,0,0
0.82544,0.86531,0.76256,2.08002,0.57754,1,0,0
0.99969,0.02694,0.42431,0.85336,0.2813,1,0,0
0.22294,0.03444,0.44381,0.46503,0.22,1,0,0
0.00806,0.80856,0.18556,0.7987,0.22768,1,0,0
0.53106,0.21581,0.78744,0.88192,0.33498,1,0,0
0.30106,0.67406,0.76906,1.12379,0.38681,1,0,0
0.59806,0.02519,0.76606,0.62781,0.28493,1,0,0
0.23506,0.37806,0.27619,0.84156,0.24318,1,0,0
0.37769,0.98619,0.51381,1.47978,0.37917,1,0,0
0.78369,0.37506,0.09619,1.49096,0.27754,1,0,0
0.95569,0.03919,0.61756,0.82136,0.3106,1,0,0
0.81556,0.80469,0.51019,2.19556,0.48254,1,0,0
0.23719,0.76831,0.63956,1.10509,0.35422,1,0,0
0.01394,0.18219,0.87194,0.42531,0.25463,1,0,0
0.97981,0.05931,0.61131,0.83828,0.31527,1,0,0
0.34731,0.37194,0.14431,0.96744,0.23697,1,0,0
0.12844,0.31206,0.76044,0.61557,0.28253,1,0,0
0.12794,0.81106,0.19356,1.01557,0.24641,1,0,0
0.80794,0.19156,0.53544,1.02665,0.31608,1,0,0
0.99669,0.25469,0.49681,1.39462,0.3741,1,0,0
0.34556,0.53719,0.43181,1.13783,0.30448,1,0,0
0.04156,0.21619,0.00969,0.50017,0.19782,1,0,0
0.36181,0.80756,0.97344,1.1806,0.46558,1,0,0
0.58094,0.41206,0.35631,1.28576,0.30793,1,0,0
0.12469,0.12231,0.54181,0.4917,0.23253,1,0,0
0.98531,0.13219,0.91956,1.05059,0.40966,1,0,0
0.47094,0.51044,0.02906,1.31325,0.25249,1,0,0
0.32144,0.24056,0.28569,0.78266,0.23927,1,0,0
0.87356,0.53069,0.38031,1.90864,0.39859,1,0,0
0.69256,0.07256,0.55419,0.75499,0.27824,1,0,0
0.96919,0.22619,0.77594,1.27477,0.42531,1,0,0
0.09919,0.44956,0.98256,0.66066,0.33175,1,0,0
0.50756,0.45956,0.24706,1.25447,0.28038,1,0,0
0.64306,0.66656,0.47981,1.75117,0.39951,1,0,0
0.05519,0.54344,0.89194,0.67997,0.32404,1,0,0
0.85081,0.18231,0.68456,1.0346,0.34784,1,0,0
0.48919,0.01756,0.03369,0.60657,0.20567,1,0,0
0.94581,0.43006,0.37781,1.75819,0.3848,1,0,0
0.85744,0.13969,0.99894,0.96131,0.39954,1,0,0
0.02006,0.12494,0.41131,0.43039,0.21317,1,0,0
0.47331,0.56156,0.47231,1.32903,0.33822,1,0,0
0.90219,0.98131,0.49606,2.49163,0.52968,1,0,0
0.61081,0.56731,0.79494,1.44736,0.45009,1,0,0
0.70481,0.35044,0.33506,1.29991,0.30828,1,0,0
0.71756,0.68556,0.56869,1.86608,0.45169,1,0,0
0.22044,0.59581,0.78919,0.92822,0.35399,1,0,0
0.44681,0.92919,0.98506,1.30806,0.50338,1,0,0
0.64494,0.38731,0.23406,1.33563,0.28688,1,0,0
0.82631,0.94106,0.43344,2.35932,0.47687,1,0,0
0.66669,0.22406,0.36156,1.06072,0.28547,1,0,0
0.87406,0.70644,0.27531,2.23796,0.39961,1,0,0
0.66756,0.15381,0.15406,0.93652,0.23813,1,0,0
0.46494,0.31531,0.44469,0.97358,0.28857,1,0,0
0.81906,0.75981,0.61719,2.08775,0.50902,1,0,0
0.43344,0.15431,0.50156,0.73155,0.26276,1,0,0
0.77269,0.18694,0.49431,1.00355,0.30422,1,0,0
0.27106,0.73056,0.56106,1.15159,0.34055,1,0,0
0.16206,0.30569,0.60694,0.65704,0.26814,1,0,0
0.25219,0.41394,0.16731,0.89353,0.23372,1,0,0
0.38631,0.54194,0.76319,1.13907,0.38314,1,0,0
0.63069,0.59619,0.69756,1.52329,0.43568,1,0,0
0.24119,0.30656,0.98331,0.69692,0.33325,1,0,0
0.52706,0.24781,0.48931,0.9581,0.29328,1,0,0
0.20419,0.69369,0.23869,1.07545,0.25898,1,0,0
0.61794,0.20844,0.96981,0.89407,0.3687,1,0,0
0.84206,0.98031,0.62444,2.2708,0.55102,1,0,0
0.46969,0.81531,0.52369,1.56733,0.39012,1,0,0
0.73844,0.72794,0.48894,1.94152,0.43135,1,0,0
0.33431,0.56494,0.05144,1.17699,0.24316,1,0,0
